gene_callers_id	source	accession	function	e_value
AMXMAG_0088___1159	COG20_FUNCTION	COG0252	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D (AnsA) (PDB:1ZQ1)	1.74e-211
AMXMAG_0088___1161	COG20_FUNCTION	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY)	8.8e-66
AMXMAG_0088___1162	COG20_FUNCTION	COG3384	Aromatic ring-opening dioxygenase, catalytic subunit, LigB family (LigB) (PDB:2PW6) (PUBMED:23258706)	2.43e-71
AMXMAG_0088___1163	COG20_FUNCTION	COG4108	Peptide chain release factor RF-3 (PrfC) (PDB:3UOQ)	2.88e-222
AMXMAG_0088___1164	COG20_FUNCTION	COG0642!!!COG0745!!!COG0840!!!COG2202	Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)!!!Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)!!!PAS domain (PAS) (PDB:2MWG)	1.06e-128
AMXMAG_0088___1167	COG20_FUNCTION	COG0797	Peptidoglycan lytic transglycosylase RlpA, contains C-terminal SPOR domain (RlpA) (PDB:4AVR) (PUBMED:24806796)	9.56e-07
AMXMAG_0088___1168	COG20_FUNCTION	COG0320	Lipoate synthase (LipA) (PDB:4U0O) (PUBMED:27941785)	1.49e-107
AMXMAG_0088___1169	COG20_FUNCTION	COG0815	Apolipoprotein N-acyltransferase (Lnt) (PDB:6NWR)	1.23e-56
AMXMAG_0088___1170	COG20_FUNCTION	COG1186	Protein chain release factor PrfB (PrfB) (PDB:1GQE)	1.34e-97
AMXMAG_0088___1171	COG20_FUNCTION	COG0494	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family (MutT) (PDB:4V14)	5.62e-39
AMXMAG_0088___1173	COG20_FUNCTION	COG0515	Serine/threonine protein kinase (SPS1) (PDB:6G4J)	6.94e-71
AMXMAG_0088___1175	COG20_FUNCTION	COG2318	Bacillithiol/mycothiol S-transferase BstA/DinB, DinB/YfiT family (unrelated to E. coli DinB) (DinB) (PDB:2QE9) (PUBMED:22059487;24821014)	4.54e-48
AMXMAG_0088___1176	COG20_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)	1.27e-102
AMXMAG_0088___1177	COG20_FUNCTION	COG0667	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family (PdxI) (PDB:1LQA) (PUBMED:32253339)	2.01e-91
AMXMAG_0088___1179	COG20_FUNCTION	COG1643	HrpA-like RNA helicase (HrpA) (PDB:5N8R)	4.03e-205
AMXMAG_0088___1180	COG20_FUNCTION	COG0334	Glutamate dehydrogenase/leucine dehydrogenase (GdhA) (PDB:1B3B) (PUBMED:24391520)	2.45e-252
AMXMAG_0088___1181	COG20_FUNCTION	COG0574	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase (PpsA) (PDB:5HV6)	0
AMXMAG_0088___1182	COG20_FUNCTION	COG1629	Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)	3.65e-224
AMXMAG_0088___1183	COG20_FUNCTION	COG1629	Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)	1.31e-114
AMXMAG_0088___1184	COG20_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)	1.17e-167
AMXMAG_0088___1186	COG20_FUNCTION	COG3093	Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain (VapI) (PDB:4MCT)	1.2e-38
AMXMAG_0088___1187	COG20_FUNCTION	COG0421	Spermidine synthase (polyamine aminopropyltransferase) (SpeE) (PDB:6BQ2)	9.86e-25
AMXMAG_0088___1189	COG20_FUNCTION	COG1148	Heterodisulfide reductase, subunit A (polyferredoxin) (HdrA) (PDB:5ODC)	3.47e-173
AMXMAG_0088___1192	COG20_FUNCTION	COG1313	Radical SAM superfamily enzyme PflX (PflX)	6.74e-118
AMXMAG_0088___1193	COG20_FUNCTION	COG1530	Ribonuclease G or E (CafA) (PDB:1SLJ)	4.06e-170
AMXMAG_0088___1194	COG20_FUNCTION	COG0772	Peptodoglycan polymerase FtsW/RodA/SpoVE (FtsW) (PDB:6BAR) (PUBMED:30692671)	1.36e-77
AMXMAG_0088___1195	COG20_FUNCTION	COG0768	Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2) (FtsI) (PDB:6HZQ)	2.26e-128
AMXMAG_0088___1197	COG20_FUNCTION	COG1792	Cell shape-determining protein MreC (MreC) (PDB:2J5U)	2.49e-22
AMXMAG_0088___1198	COG20_FUNCTION	COG1077	Cell shape-determining ATPase MreB, actin-like superfamily (MreB) (PDB:1JCE)	6.06e-184
AMXMAG_0088___1200	COG20_FUNCTION	COG0760	Peptidyl-prolyl isomerase, parvulin family (SurA) (PDB:2ZR5)	1.46e-78
AMXMAG_0088___1201	COG20_FUNCTION	COG0632	Holliday junction resolvasome RuvABC DNA-binding subunit (RuvA) (PDB:1BDX)	2.56e-49
AMXMAG_0088___1202	COG20_FUNCTION	COG2255	Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit RuvB (RuvB) (PDB:1HQC)	2.75e-141
AMXMAG_0088___1203	COG20_FUNCTION	COG1597	Phosphatidylglycerol kinase, diacylglycerol kinase family (LCB5) (PDB:2BON) (PUBMED:17351295)	1.36e-24
AMXMAG_0088___1205	COG20_FUNCTION	COG0591	Na+/proline symporter (PutP) (PDB:5NVA)	5.51e-213
AMXMAG_0088___1206	COG20_FUNCTION	COG1762	Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type) (PtsN) (PDB:2OQ3)	5.58e-10
AMXMAG_0088___1207	COG20_FUNCTION	COG4485	Uncharacterized membrane protein YfhO (YfhO)	2.74e-13
AMXMAG_0088___1208	COG20_FUNCTION	COG0388	Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)	6.27e-85
AMXMAG_0088___1209	COG20_FUNCTION	COG0733	Na+-dependent transporter, SNF family (YocR) (PDB:2A65)	4.71e-201
AMXMAG_0088___1212	COG20_FUNCTION	COG1680!!!COG3876	CubicO group peptidase, beta-lactamase class C family (AmpC) (PDB:1BLS)!!!Uncharacterized conserved protein YbbC, DUF1343 family (YbbC) (PDB:4JJA)	3.67e-242
AMXMAG_0088___1213	COG20_FUNCTION	COG1472!!!COG1680	Periplasmic beta-glucosidase and related glycosidases (BglX) (PDB:2X40)!!!CubicO group peptidase, beta-lactamase class C family (AmpC) (PDB:1BLS)	1.99e-133
AMXMAG_0088___1214	COG20_FUNCTION	COG3291	Uncharacterized conserved protein, PKD repeat domain (PDB:2KZW)	1.76e-06
AMXMAG_0088___1216	COG20_FUNCTION	COG3291!!!COG4935	Uncharacterized conserved protein, PKD repeat domain (PDB:2KZW)!!!Regulatory P domain of the subtilisin-like proprotein convertases and other proteases (PDB:1OT5)	4.7e-55
AMXMAG_0088___1217	COG20_FUNCTION	COG0019	Diaminopimelate decarboxylase (LysA) (PDB:1D7K)	1.53e-108
AMXMAG_0088___1219	COG20_FUNCTION	COG2230	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases (Cfa) (PDB:5Z9O)	1.33e-123
AMXMAG_0088___1220	COG20_FUNCTION	COG0225	Peptide methionine sulfoxide reductase MsrA (MsrA) (PDB:1FF3)	6.56e-106
AMXMAG_0088___1221	COG20_FUNCTION	COG1033	Predicted exporter protein, RND superfamily (MMPL) (PDB:5KHN)	1.55e-299
AMXMAG_0088___1222	COG20_FUNCTION	COG4447	Uncharacterized conserved protein related to plant photosystem II stability/assembly factor (PDB:2XBG)	2.41e-27
AMXMAG_0088___1223	COG20_FUNCTION	COG5010	Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)	2.22e-104
AMXMAG_0088___1225	COG20_FUNCTION	COG1240	vWFA (von Willebrand factor type A) domain of Mg and Co chelatases (ChlD)	3.09e-22
AMXMAG_0088___1226	COG20_FUNCTION	COG1514	RNA 2',3'-cyclic phosphodiesterase (2'-5' RNA ligase) (ThpR) (PDB:1IUH) (PUBMED:25239919)	3.38e-26
AMXMAG_0088___1227	COG20_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)	5.05e-169
AMXMAG_0088___1228	COG20_FUNCTION	COG0318	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)	3.36e-162
AMXMAG_0088___1229	COG20_FUNCTION	COG1716!!!COG2114!!!COG2203	Forkhead associated (FHA) domain, binds pSer, pThr, pTyr (FHA) (PDB:2FEZ)!!!Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)!!!GAF domain (GAF)	4.5e-147
AMXMAG_0088___1230	COG20_FUNCTION	COG0515	Serine/threonine protein kinase (SPS1) (PDB:6G4J)	3.63e-145
AMXMAG_0088___1231	COG20_FUNCTION	COG0205	6-phosphofructokinase (PfkA) (PDB:1KZH)	1.38e-185
AMXMAG_0088___1232	COG20_FUNCTION	COG0626	Cystathionine beta-lyase/cystathionine gamma-synthase (MetC) (PDB:1CL1)	3.11e-95
AMXMAG_0088___1233	COG20_FUNCTION	COG0275	16S rRNA C1402 N4-methylase RsmH (RmsH) (PDB:1M6Y)	3.45e-133
AMXMAG_0088___1234	COG20_FUNCTION	COG1524	c-di-AMP phosphodiesterase AtaC or nucleotide pyrophosphatase, AlkP superfamily (AtaC) (PDB:1EI6) (PUBMED:32188788)	6.99e-60
AMXMAG_0088___1236	COG20_FUNCTION	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)	3.6e-14
AMXMAG_0088___1237	COG20_FUNCTION	COG2154	Pterin-4a-carbinolamine dehydratase (PhhB) (PDB:1DCH)	1.07e-28
AMXMAG_0088___1238	COG20_FUNCTION	COG0482	tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain (MnmA) (PDB:2HMA) (PUBMED:25825430)	1.34e-102
AMXMAG_0088___1243	COG20_FUNCTION	COG1045	Serine acetyltransferase (CysE) (PDB:1T3D)	8.47e-85
AMXMAG_0088___1244	COG20_FUNCTION	COG0801	7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase (folate biosynthesis) (FolK) (PDB:1CBK)	7.9e-33
AMXMAG_0088___1245	COG20_FUNCTION	COG4530	Uncharacterized conserved protein (PUBMED:19495416)	4.77e-13
AMXMAG_0088___1246	COG20_FUNCTION	COG0343	Queuine/archaeosine tRNA-ribosyltransferase (Tgt) (PDB:1XW8) (PUBMED:15805528)	1.65e-134
AMXMAG_0088___1247	COG20_FUNCTION	COG1862	Protein translocase subunit YajC (YajC)	3.53e-24
AMXMAG_0088___1248	COG20_FUNCTION	COG0420	DNA repair exonuclease SbcCD nuclease subunit (SbcD) (PDB:6S85)	1.56e-24
AMXMAG_0088___1249	COG20_FUNCTION	COG0419	DNA repair exonuclease SbcCD ATPase subunit (SbcC) (PDB:3QKR)	4.5e-07
AMXMAG_0088___1250	COG20_FUNCTION	COG0342	Preprotein translocase subunit SecD (SecD) (PDB:3AQP) (PUBMED:26100040)	5.64e-151
AMXMAG_0088___1251	COG20_FUNCTION	COG0341	Preprotein translocase subunit SecF (SecF) (PDB:2FYH) (PUBMED:28830929)	7.57e-79
AMXMAG_0088___1252	COG20_FUNCTION	COG1404	Serine protease, subtilisin family (AprE) (PDB:1SCJ)	6.74e-68
AMXMAG_0088___1253	COG20_FUNCTION	COG0646!!!COG1410	Methionine synthase I (cobalamin-dependent), methyltransferase domain (MetH1) (PDB:1LT7)!!!Methionine synthase I, cobalamin-binding domain (MetH2) (PDB:4DJD)	0
AMXMAG_0088___1254	COG20_FUNCTION	COG0646!!!COG0685	Methionine synthase I (cobalamin-dependent), methyltransferase domain (MetH1) (PDB:1LT7)!!!5,10-methylenetetrahydrofolate reductase (MetF) (PDB:1B5T)	1.06e-161
AMXMAG_0088___1255	COG20_FUNCTION	COG0151	Phosphoribosylamine-glycine ligase (PurD) (PDB:1GSO)	5.23e-146
AMXMAG_0088___1259	COG20_FUNCTION	COG0166	Glucose-6-phosphate isomerase (Pgi) (PDB:1B0Z)	7.93e-228
AMXMAG_0088___1260	COG20_FUNCTION	COG1940	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain (NagC) (PDB:1WOQ)	5.61e-65
AMXMAG_0088___1261	COG20_FUNCTION	COG1774	Cell fate regulator YaaT, PSP1 superfamily (controls sporulation, competence, biofilm development) (YaaT) (PUBMED:23490197)	6.36e-44
AMXMAG_0088___1262	COG20_FUNCTION	COG1923	sRNA-binding regulator protein Hfq (Hfq) (PDB:1HK9)	5.16e-13
AMXMAG_0088___1263	COG20_FUNCTION	COG0624	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (ArgE) (PDB:1CG2)	7.13e-177
AMXMAG_0088___1264	COG20_FUNCTION	COG3837	Uncharacterized conserved protein, cupin superfamily	4.23e-59
AMXMAG_0088___1265	COG20_FUNCTION	COG4319	Ketosteroid isomerase homolog YybH (YybH) (PDB:2GXF)	1.26e-57
AMXMAG_0088___1266	COG20_FUNCTION	COG0312	Zn-dependent protease PmbA/TldA or its inactivated homolog (TldD) (PDB:3TV9) (PUBMED:12029038)	6.29e-189
AMXMAG_0088___1267	COG20_FUNCTION	COG0312	Zn-dependent protease PmbA/TldA or its inactivated homolog (TldD) (PDB:3TV9) (PUBMED:12029038)	2.5e-272
AMXMAG_0088___1269	COG20_FUNCTION	COG1505	Prolyl endopeptidase PreP, S9A serine peptidase family (PreP) (PDB:1E5T)	0
AMXMAG_0088___1270	COG20_FUNCTION	COG4447	Uncharacterized conserved protein related to plant photosystem II stability/assembly factor (PDB:2XBG)	0
AMXMAG_0088___1272	COG20_FUNCTION	COG0750	Membrane-associated protease RseP, regulator of RpoE activity (RseP)	1.9e-100
AMXMAG_0088___1273	COG20_FUNCTION	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase (Dxr) (PDB:1JVS)	2.07e-131
AMXMAG_0088___1274	COG20_FUNCTION	COG0575	CDP-diglyceride synthetase (CdsA) (PDB:4Q2E)	1.88e-36
AMXMAG_0088___1275	COG20_FUNCTION	COG0020	Undecaprenyl pyrophosphate synthase (UppS) (PDB:1X07)	3.67e-100
AMXMAG_0088___1276	COG20_FUNCTION	COG0101	tRNA U38,U39,U40 pseudouridine synthase TruA (TruA) (PDB:1DJ0)	1.27e-50
AMXMAG_0088___1278	COG20_FUNCTION	COG0542	ATP-dependent Clp protease, ATP-binding subunit ClpA (ClpA) (PDB:1KSF)	0
AMXMAG_0088___1279	COG20_FUNCTION	COG0071	Small heat shock protein IbpA, HSP20 family (IbpA) (PDB:1GME)	1.12e-40
AMXMAG_0088___1280	COG20_FUNCTION	COG0031	Cysteine synthase (CysK) (PDB:1FCJ)	5.26e-144
AMXMAG_0088___1282	COG20_FUNCTION	COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)	8.75e-103
AMXMAG_0088___1283	COG20_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)	2.14e-44
AMXMAG_0088___1284	COG20_FUNCTION	COG0008	Glutamyl- or glutaminyl-tRNA synthetase (GlnS) (PDB:1EUQ)	8.96e-136
AMXMAG_0088___1285	COG20_FUNCTION	COG0008	Glutamyl- or glutaminyl-tRNA synthetase (GlnS) (PDB:1EUQ)	2.59e-286
AMXMAG_0088___1287	COG20_FUNCTION	COG0607	Rhodanese-related sulfurtransferase (PspE) (PDB:1TQ1)	3.5e-25
AMXMAG_0088___1288	COG20_FUNCTION	COG3536	Uncharacterized conserved protein, DUF971 family (PDB:2L6N)	2.79e-15
AMXMAG_0088___1290	COG20_FUNCTION	COG0515	Serine/threonine protein kinase (SPS1) (PDB:6G4J)	1.82e-67
AMXMAG_0088___1291	COG20_FUNCTION	COG0577!!!COG1136	ABC-type antimicrobial peptide transport system, permease component (SalY)!!!ABC-type lipoprotein export system, ATPase component (LolD) (PDB:5GKO)	6.54e-23
AMXMAG_0088___1292	COG20_FUNCTION	COG1538	Outer membrane protein TolC (TolC) (PDB:1EK9)	8.25e-16
AMXMAG_0088___1293	COG20_FUNCTION	COG1566	Multidrug resistance efflux pump EmrA (EmrA) (PDB:4TKO)	1.21e-47
AMXMAG_0088___1294	COG20_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	6.96e-80
AMXMAG_0088___1297	COG20_FUNCTION	COG1201	Lhr-like helicase (Lhr) (PDB:5V9X)	1.35e-247
AMXMAG_0088___1300	COG20_FUNCTION	COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ (TilS) (PDB:1NI5) (PUBMED:21435031)	1.54e-36
AMXMAG_0088___1301	COG20_FUNCTION	COG0634	Hypoxanthine-guanine phosphoribosyltransferase (HptA) (PDB:1G9S)	4.09e-24
AMXMAG_0088___1302	COG20_FUNCTION	COG0465	ATP-dependent Zn proteases (HflB) (PDB:1LV7)	5.11e-267
AMXMAG_0088___1303	COG20_FUNCTION	COG2204	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains (AtoC) (PDB:1ZY2)	1.57e-48
AMXMAG_0088___1306	COG20_FUNCTION	COG0642	Signal transduction histidine kinase (BaeS) (PDB:1JOY)	1.39e-31
AMXMAG_0088___1307	COG20_FUNCTION	COG5267	Uncharacterized conserved protein, DUF1800 family	1.66e-104
AMXMAG_0088___1308	COG20_FUNCTION	COG4102	Uncharacterized conserved protein, DUF1501 family	5.86e-108
AMXMAG_0088___1309	COG20_FUNCTION	COG0755!!!COG1333	ABC-type transport system involved in cytochrome c biogenesis, permease component (CcmC)!!!Cytochrome c biogenesis protein ResB (ResB)	5.86e-281
AMXMAG_0088___1311	COG20_FUNCTION	COG4118	Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor (Phd) (PDB:3DBO)	1.07e-06
AMXMAG_0088___1313	COG20_FUNCTION	COG1142!!!COG1148!!!COG1251	Fe-S-cluster-containing hydrogenase component 2 (HycB)!!!Heterodisulfide reductase, subunit A (polyferredoxin) (HdrA) (PDB:5ODC)!!!NAD(P)H-nitrite reductase, large subunit (NirB)	4.48e-287
AMXMAG_0088___1314	COG20_FUNCTION	COG0665	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)	4.62e-163
AMXMAG_0088___1317	COG20_FUNCTION	COG2050	Acyl-CoA thioesterase PaaI, contains HGG motif (PaaI) (PDB:1PSU)	3.49e-45
AMXMAG_0088___1318	COG20_FUNCTION	COG0328	Ribonuclease HI (RnhA) (PDB:1LAW)	2.14e-77
AMXMAG_0088___1319	COG20_FUNCTION	COG4447	Uncharacterized conserved protein related to plant photosystem II stability/assembly factor (PDB:2XBG)	1.24e-06
AMXMAG_0088___1320	COG20_FUNCTION	COG0824	Acyl-CoA thioesterase FadM (FadM) (PDB:2FUJ)	2.09e-16
AMXMAG_0088___1323	COG20_FUNCTION	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2 (EcfA2) (PDB:4HUQ)	3.93e-32
AMXMAG_0088___1324	COG20_FUNCTION	COG1230	Co/Zn/Cd efflux system component (CzcD)	7.37e-87
AMXMAG_0088___1325	COG20_FUNCTION	COG2374	Predicted extracellular nuclease	1.34e-106
AMXMAG_0088___1327	COG20_FUNCTION	COG3643	Glutamate formiminotransferase (GluFT) (PDB:1QD1)	2.56e-75
AMXMAG_0088___1328	COG20_FUNCTION	COG1883	Na+-transporting oxaloacetate/methylmalonyl-CoA decarboxylase, beta subunit (OadB)	1.18e-149
AMXMAG_0088___1329	COG20_FUNCTION	COG4770	Acetyl/propionyl-CoA carboxylase, alpha subunit (PccA) (PDB:3U9S)	8.74e-09
AMXMAG_0088___1330	COG20_FUNCTION	COG0764!!!COG3321	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase (FabA) (PDB:1MKA)!!!Acyl transferase domain in polyketide synthase (PKS) enzymes (PksD) (PDB:6IYO)	0
AMXMAG_0088___1331	COG20_FUNCTION	COG0236!!!COG3321!!!COG4221	Acyl carrier protein (AcpP) (PDB:1ACP)!!!Acyl transferase domain in polyketide synthase (PKS) enzymes (PksD) (PDB:6IYO)!!!NADP-dependent 3-hydroxy acid dehydrogenase YdfG (YdfG) (PDB:3P19)	0
AMXMAG_0088___1332	COG20_FUNCTION	COG2070	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family (YrpB)	1.27e-229
AMXMAG_0088___1333	COG20_FUNCTION	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	9.42e-62
AMXMAG_0088___1334	COG20_FUNCTION	COG4771	Outer membrane receptor for ferrienterochelin and colicins (FepA) (PDB:2HDF) (PUBMED:16468998)	7.89e-129
AMXMAG_0088___1335	COG20_FUNCTION	COG3302	DMSO reductase anchor subunit DmsC (DmsC)	3.58e-10
AMXMAG_0088___1336	COG20_FUNCTION	COG0437	Fe-S-cluster-containing dehydrogenase component (DMSO reductase) (HybA) (PDB:2VPW)	1.04e-73
AMXMAG_0088___1337	COG20_FUNCTION	COG0243	Anaerobic selenocysteine-containing dehydrogenase (BisC) (PDB:1EU1)	2.29e-260
AMXMAG_0088___1338	COG20_FUNCTION	COG0493	NADPH-dependent glutamate synthase beta chain or related oxidoreductase (GltD) (PDB:1H7X)	1.46e-185
AMXMAG_0088___1339	COG20_FUNCTION	COG1765	Uncharacterized OsmC-related protein (YhfA) (PDB:1LQL)	1.93e-52
AMXMAG_0088___1340	COG20_FUNCTION	COG4274	Uncharacterized conserved protein, contains GYD domain	1.85e-31
AMXMAG_0088___1342	COG20_FUNCTION	COG0122!!!COG2169	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase (AlkA) (PDB:1DIZ)!!!Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains (AdaA) (PDB:1ADN)	8.8e-157
AMXMAG_0088___1343	COG20_FUNCTION	COG0350	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase) (AdaB) (PDB:6RLA) (PUBMED:29061663)	8.42e-46
AMXMAG_0088___1345	COG20_FUNCTION	COG0466	ATP-dependent Lon protease, bacterial type (Lon) (PDB:6ON2)	6.67e-318
AMXMAG_0088___1346	COG20_FUNCTION	COG1739	Putative translation regulator, IMPACT (imprinted ancient) protein family (YIH1) (PDB:1VI7) (PUBMED:15126500)	4.6e-25
AMXMAG_0088___1348	COG20_FUNCTION	COG0615!!!COG2513	Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family (TagD) (PDB:2B7L)!!!2-Methylisocitrate lyase and related enzymes, PEP mutase family (PrpB) (PDB:1XG3)	2e-211
AMXMAG_0088___1349	COG20_FUNCTION	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme (IlvB) (PDB:1BFD)	1.69e-138
AMXMAG_0088___1350	COG20_FUNCTION	COG1454	Alcohol dehydrogenase, class IV (EutG) (PDB:6AHC)	6.37e-71
AMXMAG_0088___1351	COG20_FUNCTION	COG1887	CDP-glycerol glycerophosphotransferase, TagB/SpsB family (TagB)	7.44e-59
AMXMAG_0088___1352	COG20_FUNCTION	COG4783	Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)	1.83e-23
AMXMAG_0088___1353	COG20_FUNCTION	COG3647	Uncharacterized membrane protein YjdF (YjdF)	3.35e-89
AMXMAG_0088___1354	COG20_FUNCTION	COG2040	Homocysteine/selenocysteine methylase (S-methylmethionine-dependent) (MHT1) (PDB:5DML)	7.24e-17
AMXMAG_0088___1355	COG20_FUNCTION	COG2197!!!COG2203!!!COG4585	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)!!!GAF domain (GAF)!!!Signal transduction histidine kinase ComP (ComP) (PDB:4GT8)	1.78e-06
AMXMAG_0088___1356	COG20_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	1.47e-109
AMXMAG_0088___1357	COG20_FUNCTION	COG0300	Short-chain dehydrogenase (YqjQ)	1.49e-56
AMXMAG_0088___1358	COG20_FUNCTION	COG2177	Cell division protein FtsX (FtsX)	1.43e-24
AMXMAG_0088___1359	COG20_FUNCTION	COG2884	Cell division ATPase FtsE (FtsE)	2.98e-76
AMXMAG_0088___1360	COG20_FUNCTION	COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (GatB) (PDB:3H0M)	2.44e-168
AMXMAG_0088___1361	COG20_FUNCTION	COG1560	Palmitoleoyl-ACP: Kdo2-lipid-IV acyltransferase (lipid A biosynthesis) (LpxP) (PDB:5F2T) (PUBMED:11830595)	2.44e-26
AMXMAG_0088___1362	COG20_FUNCTION	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain (PuuD) (PDB:1L9X)	4.41e-34
AMXMAG_0088___1363	COG20_FUNCTION	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II (GloB) (PDB:1QH3) (PUBMED:25670698)	4.46e-07
AMXMAG_0088___1364	COG20_FUNCTION	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, C-terminal domain, T-fold superfamily (QueFC) (PDB:3BP1) (PUBMED:14660578;17384645)	5.74e-55
AMXMAG_0088___1365	COG20_FUNCTION	COG0681	Signal peptidase I (LepB) (PDB:1B12) (PUBMED:1925027)	3.38e-56
AMXMAG_0088___1366	COG20_FUNCTION	COG0735	Fe2+ or Zn2+ uptake regulation protein Fur/Zur (Fur) (PDB:1MZB)	6.63e-22
AMXMAG_0088___1367	COG20_FUNCTION	COG0372	Citrate synthase (GltA) (PDB:3TQG) (PUBMED:25211225)	8.26e-225
AMXMAG_0088___1368	COG20_FUNCTION	COG0607	Rhodanese-related sulfurtransferase (PspE) (PDB:1TQ1)	9.91e-06
AMXMAG_0088___1370	COG20_FUNCTION	COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)	2.48e-16
AMXMAG_0088___1371	COG20_FUNCTION	COG0731	Wyosine [tRNA(Phe)-imidazoG37] synthetase, radical SAM superfamily (Tyw1) (PDB:2YX0)	9.26e-63
AMXMAG_0088___1372	COG20_FUNCTION	COG0515!!!COG2815	Serine/threonine protein kinase (SPS1) (PDB:6G4J)!!!PASTA domain, binds beta-lactams (PASTA)	6.05e-63
AMXMAG_0088___1373	COG20_FUNCTION	COG1462	Curli biogenesis system outer membrane secretion channel CsgG (CsgG) (PDB:3X2R) (PUBMED:24417346)	1.17e-41
AMXMAG_0088___1374	COG20_FUNCTION	COG1193	dsDNA-specific endonuclease/ATPase MutS2 (MutS2)	1.43e-32
AMXMAG_0088___1375	COG20_FUNCTION	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase III (FabH) (PDB:1UB7)	1.21e-100
AMXMAG_0088___1376	COG20_FUNCTION	COG0693	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids) (YajL) (PDB:5SY4) (PUBMED:19028889;28596309;26678554)	4.33e-31
